CNPJ_Fundo;Data_Referencia;Versao;Numero_Processo;Juizo;Instancia;Data_Instauracao;Valor_Causa;Partes_Processo;Chance_Perda;Principais_Fatos;Analise_Impacto_Perda
00.332.266/0001-31;2021-12-01;1;0018064-23.2014.8.19.0209;03ª Vara Cível;Com sentença;2014-06-16;611520;CASA & VÍDEO RIO DE JANEIRO S/A;PROVÁVEL;Renovação do contrato de locação.;108478,199617134
00.332.266/0001-31;2021-12-01;1;0178015-56.2018.8.19.0001;4ª Vara Cível;Com sentença;2018-07-30;240000;MARISA LOJAS;PROVÁVEL;Trata-se de ação renovatória relacionada as lojas n º 2031A/2032A/2042A/2043A da Marisa.;32998.5762847463
00.868.235/0001-08;2021-12-01;1;3408851-74.2005.8.21.0001;06ª Vara da Fazenda Pública;Em execução ou cumprimento de sentença;2000-06-09;56560.33;MUNICÍPIO DE PORTO ALEGRE;POSSÍVEL;Nulidade do IPTU com pedido de antecipação de tutela, a fim de discutir a alíquota de 6% referente aos exercícios de 1998, 1999 e 2000, referente ao imóvel situado na Rua Primeiro de Janeiro, 100, em vista da inconstitucionalidade do regime da progressividade de alíquotas fixado pela Lei 7/73, com a redação dada pela Lei 212/89.09/11/2017 Decisão desfavorável em segunda instância. Recurso especial sobrestado para julgamento pelo rito dos recursos repetitivos. Em 11/08/2017 Processo Reativado. Em 11/08/2017 Concluso os autos para juízo de admissibilidade. Em 14/08/2017 Processo desarquivado por paradigma julgado. Em 24/10/2017 Expedida nota de expediente. Em 09/11/2017 Proferida Decisão: "deve ser reativado o recurso extraordinário, oportunamente retornem os autos conclusos a esta Vice-Presidência, sob o registro do pertinente recurso extraordinário".;O valor envolvido atualizado é de R$ 83.899,07
01.201.140/0001-90;2021-12-01;2;16327-720.193/2020-28;Delegacia da Receita Federal;Administrativa Federal;2020-08-28;12552407.31;Receita federal do Brasil;POSSÍVEL;Trata-se de processo administrativo, oriundo de autos de infração resultantes do Procedimento Fiscal n° 0816600.2019.00208, em razão da exigência de multas pela suposta ausência de entrega de Escrituração Digital Contábil ("ECD") e Escrituração Digital Fiscal ("ECF") entre 31/07/2017 e 31/07/2018, sob alegação de que o Fundo estaria sujeito à tributação aplicável às pessoas jurídicas, nos termos do artigo 2º da Lei nº 9.779/1999, uma vez que seus recursos estariam aplicados em empreendimento imobiliário que teria como incorporador, construtor ou sócio, cotista que possuiria mais de 25% de suas cotas.  O Auditor-Fiscal da Receita Federal do Brasil imputou à Rio Bravo Investimentos DTVM Ltda. e ao cotista majoritário do Fundo a condição de responsáveis solidários pelos tributos objeto da autuação. As impugnações foram devidamente apresentadas e os processos administrativos foram remetidos à Delegacia da Receita Federal ("DRJ") para  julgamento, sendo que foram proferidas decisões desfavoráveis em março de 2021. Ato posterior, as partes apresentaram recursos voluntários, os quais foram remetidos para julgamento no Conselho Administrativo de Recursos Fiscais do Ministério da Fazenda - CARF. Não há qualquer decisão até o presente momento.;O valor envolvido é de R$ 12.932.757,80
01.201.140/0001-90;2021-12-01;2;16327-720.192/2020-83;Delegacia da Receita Federal;Administrativa Federal;2020-08-28;38394555.67;Receita federal do Brasil;POSSÍVEL;Trata-se de processo administrativo, oriundo de autos de infração resultantes do Procedimento Fiscal n° 0816600.2019.00208, em razão da exigência de Contribuição para o Programa de Integração Social ("PIS") e Contribuição para o Financiamento da Seguridade Social ("COFINS") em relação a fatos geradores supostamente ocorridos entre 31/01/2016 e 31/12/2018, sob alegação de que o Fundo estaria sujeito à tributação aplicável às pessoas jurídicas, nos termos do artigo 2º da Lei nº 9.779/1999, uma vez que seus recursos estariam aplicados em empreendimento imobiliário que teria como incorporador, construtor ou sócio, cotista que possuiria mais de 25% de suas cotas. O Auditor-Fiscal da Receita Federal do Brasil imputou à Rio Bravo Investimentos DTVM Ltda. e ao cotista majoritário do Fundo a condição de responsáveis solidários pelos tributos objeto da autuação. As impugnações foram devidamente apresentadas e os processos administrativos foram remetidos à Delegacia da Receita Federal ("DRJ") para  julgamento, sendo que foram proferidas decisões desfavoráveis em março de 2021. Ato posterior, as partes apresentaram recursos voluntários, os quais foram remetidos para julgamento no Conselho Administrativo de Recursos Fiscais do Ministério da Fazenda - CARF. Não há qualquer decisão até o presente momento.;O valor envolvido é de R$ 12.932.757,80
01.201.140/0001-90;2021-12-01;2;16327-720.191/2020-39;Delegacia da Receita Federal;Administrativa Federal;2020-08-28;107968140.9;Receita federal do Brasil;POSSÍVEL;Trata-se de processo administrativo, oriundo de autos de infração resultantes do Procedimento Fiscal n° 0816600.2019.00208, em razão da exigência de Imposto de Renda da Pessoa Jurídica ("IRPJ") e Contribuição Social sobre o Lucro Líquido ("CSLL") em relação a fatos geradores supostamente ocorridos entre 31/03/2016 e 31/12/2018, sob alegação de que o Fundo estaria sujeito à tributação aplicável às pessoas jurídicas, nos termos do artigo 2º da Lei nº 9.779/1999, uma vez que seus recursos estariam aplicados em empreendimento imobiliário que teria como incorporador, construtor ou sócio, cotista que possuiria mais de 25% de suas cotas.o Auditor-Fiscal da Receita Federal do Brasil imputou à Rio Bravo Investimentos DTVM Ltda. e ao cotista majoritário do Fundo a condição de responsáveis solidários pelos tributos objeto da autuação. As impugnações foram devidamente apresentadas e os processos administrativos foram remetidos à Delegacia da Receita Federal ("DRJ") para  julgamento, sendo que foram proferidas decisões desfavoráveis em março de 2021. Ato posterior, as partes apresentaram recursos voluntários, os quais foram remetidos para julgamento no Conselho Administrativo de Recursos Fiscais do Ministério da Fazenda - CARF. Não há qualquer decisão até o presente momento.;O valor envolvido é de R$ 12.932.757,80
01.601.918/0001-59;2021-12-01;1;5005432-97.2010.8.27.2729;03ª Vara Cível;Em execução ou cumprimento de sentença;2011-03-22;322147.11;Fundo outra parte;PROVÁVEL;FOR.01636-0 (2011/TO) - FII Fortaleza - Imobiliário: Adjudicação compulsória (Especial) - 5005432-97.2010.8.27.2729 - Em execução ou cumprimento de sentença - Valor atual envolvido de R$ 322.147,11 de perspectiva provável - MARCOS ANTONIO DE ALBUQUERQUE REGINA GUEDES DE ALBUQUERQUE vs. FUNDO FORTALEZA DE INVESTIMENTOS IMOBILIARIO  - Adjudicação compulsória de prédio comercial situado na Avenida dos Especiais, conjunto 03,  e seu respectivo terreno ao Lote 44, Quadra ACNO 03, do Loteamento Palmas, matrícula 164 do CRI de Palmas/TO.24/09/2021 Julgada procedente a ação, deferida a adjudicação do imóvel ora discutido e confirmada decisão liminar. Condenados os requeridos ao pagamento das despesas processuais e honorários advocatícios em R$ 5.000,00. Apresentado recurso. Proferido acórdão que determinou a exclusão da Rio Bravo do polo passivo da demanda. Intimado o executado a efetuar o pagamento voluntário da demanda. O FII depositou em juízo R$ 519.411,75 e apresentou impugnação ao cumprimento de sentença. Considerando o incontroverso de R$ 257.935,48, o juiz determinou a expedição de alvará em favor do exequente. Autos remetidos a contadoria. Opostos Embargos de Declaração pelo Fundo. Autor apresentou resposta aos Embargos. Juízo regularizou as intimações em nome de Ricardo Moraes. Autos foram novamente para conclusão. Valores atualizados em mar/2021. [PROVISÃO EQUALIZADA APÓS LEVANTAMENTO DE VALORES INCONTROVERSOS]. Juntada petição requerendo a expedição de ofício ao CRI para o cancelamento da averbação. Proferida decisão rejeitando os embargos de declaração e intimando as partes para manifestação acerca do cálculo da contadoria judicial. Interposto agravo de instrumento requerendo  a redução da multa cominatória imposta e apresentada manifestação concordando subsidiariamente com o cálculo apresentado pela contadoria. Proferida decisão em primeiro grau indeferindo a redução da multa e homologando os cálculos da contadoria judicial. Opostos embargos de declaração. Expedido ofício para a baixa da averbação. Apresentada petição pelo Ministério Público no agravo de instrumento se manifestando pela não intervenção. Retorno do ofício informando a necessidade de pagamento dos emolumentos pela parte interessada. Manifestação de ciência pela parte interessada. Pedido de habilitação nos autos como terceiro interessado efetuado pelo escritório de advocacia DE VIVO, CASTRO, CUNHA E WHITAKER ADVOGADOS.;Desembolso da provisão
01.636.325/0001-28;2021-12-01;1;001/1.05.0189375-3;13ª VC de POA;1º Grau;2004-08-31;182700.64;Autor: FIIPMV                           Réu: Pregnant's;PROVÁVEL;Embargos de 3º acolhidos afastada penhora do imóvel 62.654 execução segue para levar a leilão os direitos e ações que devedores possuem frente aos imóveis de matrículas nºs 148.971 e 148.954, ambos no RJ. Pedimos consulta à RFED para verificar atual endereço dos promitentes vendedores (falta intimar os promitentes vendedores dos direitos e ações, bem como os devedores da avaliação desses bens).;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.636.325/0001-28;2021-12-01;1;001/1.05.2326485-6;9ª VC de POA;1º Grau;2005-07-06;285571.97;Autor: Ciacorp, Hacasa e                  Réu: Pregnant's;PROVÁVEL;Trânsitou em julgado os embargos à execução uma vez avaliados dos direitos e ações que fiadores possuem sobre casa 130 (matrícula nº 57.224, no RJ), solicitamos a realização de leilão.;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.636.325/0001-28;2021-12-01;1;001/1.06.0212295-7;9ª VC de POA;1º Grau;2006-10-19;15236.28;Autor: FIIPMV                           Réu: Clínica de Radiologia;PROVÁVEL;Lojista apresentou impugnação à cobrança, julgada improcedente.;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.636.325/0001-28;2021-12-01;1;001/1.16.0083515-6;1ª VC de POA;1º Grau;2016-07-01;160344.36;Autor: FIIPMV                           Réu: Adriana Cauduro;PROVÁVEL;Lojista desocupou loja seguiremos com cobrança dos valores em aberto cobrança julgada procedente e mantida pelo TJRS. Iniciará a fase de cumprimento de sentença.;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.636.325/0001-28;2021-12-01;1;001/1.15.0001911-0;1ª VC de POA;1º Grau;2015-01-21;135527.58;Autor: FIIPMV                           Réu: Morana;PROVÁVEL;Averbada existência da execução na matrícula dos fiadores.                                                                      Executados citados autos em carga com procuradora da parte contrária (pedimos busca e apreensão). Iniciada fase de restauração dos autos.;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.636.325/0001-28;2021-12-01;1;001/1.15.0011074-5;1ª VC de POA;1º Grau;2015-02-06;42581.59;Autor: FIIPMV                           Réu: Ferrari;PROVÁVEL;Citação retornou negativa. Pedimos citação por edital, deferida.;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.636.325/0001-28;2021-12-01;1;001/1.16.0146443-7;12ª VC de POA;1º Grau;2016-11-25;324841.03;Autor: FIIPMV                           Réu: Masson;PROVÁVEL;Citados, apresentaram embargos à execução (11700256760), já impugnado. Determinada realização de perícia.;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.636.325/0001-28;2021-12-01;1;001/1.17.0089713-7;12ª VC de POA;1º Grau;2017-08-10;128845.3;Autor: Masson                           Réu: FIIPMV;PROVÁVEL;Declaração de inexistência do débito + indenização por danos materiais (equivalente ao que deixou de vender pela redução de movimento no shopping) em fase de perícia.;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.636.325/0001-28;2021-12-01;1;001/1.17.0007203-0;16ª VC de POA;1º Grau;2017-01-31;178571.3;Autor: FIIPMV                           Réu: Bela Gula;PROVÁVEL;Averbada existência da execução na matrícula dos fiadores.                                                                      Citados a BG, Gustavo e Camila, que apresentaram embargos à execução (11700396456) impugnamos. Determinada realização de perícia.;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.636.325/0001-28;2021-12-01;1;001/1.17.0105533-4;16ª VC de POA;1º Grau;2017-09-22;47249.04;Autor: FIIPMV                           Réu: Bela Gula;PROVÁVEL;Citados a BG, Gustavo e Camila, que apresentaram embargos à execução (11700396456) impugnamos. Pendente citação de Ricardo.;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.636.325/0001-28;2021-12-01;1;001/1.18.0016621-5;16ª VC de POA;1º Grau;2018-02-21;200000;Autor: Bela Gula                           Réu: FIIPMV;PROVÁVEL;Contestamos. Em fase de perícia.;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.636.325/0001-28;2021-12-01;1;001/1.17.0108135-1;3ª VC de POA;1º Grau;2017-09-29;85192.7;Autor: FIIPMV                           Réu: Digital / Scalco;PROVÁVEL;Citado, apresentou embargos à execução (11800025344).;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
